"Term","Frequency"
"goal:",1
"meaning",71
"meaning,",16
"phonolog",9
"phonosemant",1
"plausibility;",1
"project)",2
"proposal.",5
"proto-kuki-chin,",1
"proto-lolo-burmese,",1
"proto-st),",1
"proto-tb,",1
"semant",18
"sino-tibetan",1
"spoken",79
"stedt",2
"taxonom",1
"thesaurus",14
"thesaurus,",3
"twofold",1
"typolog",14
"$349,787",1
"amherst.",1
"anyon",17
"boi",17
"bois,",4
"charg",25
"fedora-repository,",1
"thinkfin",1
"umass",10
"unfett",3
"verizon",2
"w.e.b.",13
"web,",8
"website.",70
"""variabl",1
"$155,035",1
"(1976-1985).",1
"1986",2
"1996.",1
"402",1
"6500",2
"decade.",7
"emb",6
"franklin",43
"furnac",7
"installations,",2
"media""",2
"singular,",2
"(pts)",1
"benson",1
"calvin",4
"canada,",9
"denominations,",1
"eras,",7
"genres.",14
"hard--reach",1
"hymn",9
"hymnal",4
"hymnary.org",1
"hymnolog",3
"path-break",6
"princeton",25
"seminari",7
"(gis)",4
"(nyc",1
"(nypl)",7
"anywhere.",3
"dataset",37
"digitized,",10
"georectified,",1
"gis),",1
"involved.",3
"landmarks,",9
"landscape.",40
"nypl",6
"repurposed,",1
"things,",14
"three-stag",1
"three-year,",5
"transformed,",8
"(appli",2
"(msu),",2
"(uiuc),",1
"(uos),",1
"15th-centuri",1
"17th-",2
"19th-",2
"ainsworth",1
"analyses.",4
"bajcsi",1
"datasets,",3
"dean",11
"director),",3
"director).",1
"il,",2
"illinoi",57
"international,",6
"investigators,",2
"jisc",1
"mi,",2
"msu",16
"multi-disciplinari",14
"multi-institut",2
"neh).",1
"nsf",4
"nsf)",1
"peter",45
"quilts.",2
"rehberg",1
"sheffield",1
"uiuc",2
"uk;",1
"urbana-champaign",6
"usa",5
"usa;",1
"classicist",1
"customiz",6
"exceed",13
"feasibl",15
"furthermor",5
"greco-roman",9
"hypothesis,",1
"scalable,",3
"scientist",45
"variorum",8
"wholli",3
"""locate""",1
"""see""",1
"""system""",1
"dig",9
"directors.",2
"embed",45
"locality--loc",1
"redefin",28
"region--region,",1
"represented.",1
"spatial",78
"spatio-tempor",2
"studied.",6
"techniques,",25
"120",15
"available:",1
"bailey",8
"bailey,",2
"commons,",7
"crime–",1
"discipline–",1
"newgat",1
"quantit",18
"seamless",6
"tapor",1
"visualization).",1
"word",120
"wrest",2
"zotero",1
"""republ",3
"(ee),",1
"53,000",2
"dissect",1
"enlightenment:",3
"excav",82
"hypothesi",6
"kingdom.",7
"letters""",3
"letters.",12
"places,",34
"revolution",16
"sets.",3
"stanford",28
"times,",12
"(eac-cpf)",1
"(loc)",1
"berkeley.",5
"bodies,",12
"consortia,",1
"context-corpor",1
"eac-cpf",1
"getti",10
"loc",2
"open-sourc",51
"persons,",8
"prototyp",108
"technologies.",18
"univ.",4
"""methodolog",1
"confid",19
"environments""",1
"fiscal",22
"guide-styl",1
"humidity(""setbacks""",1
"investigation,",8
"modeling,",5
"publication,",31
"reliabl",35
"unoccupi",1
"usabl",20
"weekends),",1
"atlas,",3
"collaborators.",3
"humanities:",10
"product,",3
"proposal,",17
"$20,000",4
"$280,400",1
"$300,400,",1
"$40,500",2
"$60,500.",1
"235",5
"athenaeum).",3
"awards.",7
"competit",28
"consortium);",2
"fellowships.",11
"fellowships;",4
"post-doctor",25
"two-month",6
"(arhc).",1
"2014",57
"30,",23
"acl",10
"acls,",2
"administ",29
"arhc",1
"beij",3
"bureaucrat",5
"china.",33
"collegi",10
"competitions,",4
"counterparts.",4
"difficulti",17
"navig",55
"nurtur",17
"obstacl",18
"(medieval,",1
"-period",1
"civilization,",11
"civilizations,",8
"modern),",1
"modern,",11
"oblig",23
"princip",55
"resid",156
"western,",3
"2011-12,",2
"2012-13,",3
"2013-14,",5
"cross-disciplinari",26
"encourag",261
"fellows.",8
"$100,800",2
"$50,400",1
"albright",10
"alumni",27
"continuous,",3
"jerusalem.",3
"prehistori",11
"publication(s).",3
"residence,",6
"residenti",37
"w.f.albright",1
"$320,400",1
"1987,",1
"alumni.",3
"applicants,",5
"boast",5
"cassatt",1
"fpiri",10
"made.",2
"mcneil",1
"one-semest",1
"pennsylvania",64
"sharpli",4
"$398,000",1
"foremost",28
"ph.d.",8
"pre-doctor",4
"india",62
"months.",18
"$40,000",37
"31.",1
"apart",9
"expenses,",3
"fe,",5
"nine-month",3
"prefer",10
"santa",46
"stipend,",17
"tenure,",5
"thru",1
"work-rel",1
"acls/ssrc/neh",2
"disciplin",148
"east,",39
"general;",3
"sciences.",37
"1492-1825,",1
"affiliated,",3
"brown",57
"carter",12
"conferences,",19
"pod",2
"public--larg",3
"seminars,",18
"south,",27
"talks,",7
"teach,",6
"(963-1187),",1
"abu'l-fazl",1
"afghanistan,",10
"bayhaqi",1
"bayhaqi.",1
"chairman",23
"ehsan",1
"foundation.",8
"ghaznavid",1
"iranian",16
"mas'udi",1
"pakistan.",2
"persia",1
"russian.",1
"tarikh-",2
"yarshater,",1
"(clir)",1
"agencies.",9
"award,",4
"brief",13
"challenge,",6
"clir",1
"cooper",77
"corpora",15
"council",141
"delivar",1
"grantees,",1
"interim",4
"interviews,",32
"kingdom,",4
"meetings,",11
"officers,",5
"phases:",6
"process-oriented,",1
"results.",11
"scale.",13
"work:",3
"3,300",3
"amphitheater.",1
"boudaries.",1
"components,",11
"goshute.",1
"indoor",2
"languages),",1
"linguistics,",21
"nations:",3
"navajo,",1
"non-nat",18
"paiute,",1
"persist",32
"shoshone,",1
"umnh",1
"utah",20
"ute,",1
"voic",133
"""echo",1
"caves,",1
"chicago,",21
"d.c.,",43
"dallas,",4
"freer",2
"ground-break",9
"past""",6
"smart",7
"smithsonian",17
"states:",6
"xiangtangshan",1
"$1,729,345.",1
"$998,800",1
"(apa),",1
"(chs)",1
"(nyu)",2
"(ulc),",1
"100",68
"2013",51
"aquila",1
"asset",38
"company,",8
"greeks/modern",1
"hellen",2
"inner-city,",1
"invigor",3
"lives:",3
"philolog",20
"poetry-drama-dialogu",1
"read,",14
"see,",6
"underserv",21
"(jmm)",4
"atlanta,",5
"baltimore,",6
"celebrate,",3
"consumption:",1
"cuisine,",2
"everyday,",3
"food:",1
"foodways,",7
"foodways.",2
"jmm",6
"maryland",47
"meaning.",15
"portland,",6
"transition,",6
"-depth",110
"15-20",2
"aloud",5
"aloud,",2
"assumptions,",10
"beauty,",9
"cuento",2
"depth,",8
"experiences.",29
"lively,",4
"power.",31
"propose,",4
"proven",41
"provided.",4
"spanish,",21
"stories/gent",2
"talk",46
"teenagers.",2
"week.",8
"weeks,",8
"association,",15
"convert",32
"discussions.",19
"exchange,",21
"goals,",16
"intergener",9
"learners.",13
"life-long",8
"low-income,",3
"low-literaci",1
"parents/guardians.",1
"populations,",11
"populations;",2
"prime",34
"storytel",70
"syllabus",7
"together;",1
"(thirteen",1
"alcott:",33
"co-product",4
"companion",35
"company.",4
"harriet",20
"holt",2
"louisa",98
"porter",9
"reisen",1
"wnet.org),",1
"woman",87
"1,800",5
"activity.",10
"challenging,",1
"commission,",6
"council,",10
"member,",3
"national,",27
"participants;",2
"service,",28
"service.",15
"solid",11
"under",17
"""gift",1
"220",2
"350-page",2
"appeal,",3
"courts,""",1
"dba",3
"didact",7
"eighth",10
"gift-giving.",1
"pan-islam",2
"perspectives.",39
"singular",23
"sultan:",1
"undisput",2
"hallow",3
"mini-movi",1
"role-play",7
"student""",1
"student,",5
"student-gener",1
"vodcast",2
"(island)",1
"(mainland)",1
"advisor",19
"explored:",5
"front-end",8
"ga.",4
"ossabaw",3
"platform",129
"standards-bas",5
"""soul",5
"$75,000",23
"2.0",8
"assets.",11
"chautauqua.""",1
"fwp",1
"game",115
"local,",41
"place""",5
"platforms,",10
"reality,",6
"soup",1
"stimulus",3
"underpin",22
"""medicin",1
"2012,",28
"250-acr",1
"conservatory,",1
"enid",1
"everett",4
"garden-wide,",1
"haupt",1
"humanities-based,",1
"impact,",10
"luesther",6
"medicine,""",1
"mertz",7
"multi-el",1
"nature,",30
"plant",39
"plants:",1
"$113,221.",1
"africas.",1
"contemporary.",2
"continents,",4
"driven",22
"dynamic.",2
"galleries,",28
"homogen",10
"mia.",1
"multiplicity-",1
"output,",2
"percept",68
"reinstal",25
"varied,",4
"vibrant,",4
"(1870-1930).",1
"1930",9
"approach.",9
"audio-pods;",1
"boom--bust",1
"degradation.",1
"download",13
"highlights:",2
"hock",1
"improvements;",1
"map);",1
"miner",12
"multi-path",1
"owners,",7
"place-bas",18
"plans;",5
"scripts;",1
"signag",3
"story:",6
".d.",10
"1000,",3
"600,",3
"advic",17
"and",1
"ascent",5
"better-known",6
"cleveland",15
"collapsed.",1
"condor:",1
"emin",17
"empire,""",1
"empires.",11
"exports.",1
"fine-tun",3
"highland",10
"inca,",1
"layout,",4
"loan",35
"peru",15
"pre-inca",2
"realm",18
"refin",51
"south-centr",1
"startl",4
"themes,",55
"wari",3
"wari,",5
"""whole-museum""",1
"(chm)",4
"colleagu",27
"experiences,",36
"experts,",36
"exploration:",1
"history:",26
"homes,",16
"identity;",10
"imagination;",1
"interrel",20
"messaging,",2
"narrative.",12
"products,",8
"programming,",34
"researcher,",3
"$38,030",1
"$38,472.",1
"(1839)",1
"(1851)",1
"(apr",1
"baptist",13
"charrettes;",1
"community,",95
"entail:",1
"georg",117
"greenman",1
"greenmanvill",1
"greenmanville.",1
"groups;",3
"located.",1
"mar",3
"museums;",1
"occupi",34
"re-interpret",3
"regional,",17
"religious,",44
"riverfront",2
"seventh",18
"thrive",27
"told",40
"""real-lif",1
"1863",6
"1935,",2
"7,000",9
"activists.",8
"progressive-era",3
"re-envis",9
"stories""",2
"themes:",27
"(rmsc)",2
"(work",18
"boomtown",1
"environments,",22
"eri",18
"ft.",14
"innovation.",11
"inspire,",3
"invention.",3
"knowledge-bas",2
"presentations,",24
"rank",11
"rmsc",4
"rochest",30
"sq.",9
"title),",10
"$850,000.",1
"90-minut",35
"ancillari",13
"awarded,",5
"broadcast,",11
"colloquia.",1
"completed.",8
"critic,",8
"deliver",15
"director.",5
"facebook,",4
"feature-length",8
"film.",38
"footag",15
"pre-interviews,",1
"script,",9
"sontag",5
"(creat",3
"(hbcus)",2
"(planning)",1
"[work",1
"emerge.",2
"firelight",6
"hbcus",7
"preliminari",38
"press:",1
"racial,",13
"soldier",70
"support),",1
"sword",1
"title],",1
"""hank",2
"arranger,",2
"composer,",5
"composers.",4
"guitar",4
"hi-def",1
"insid",26
"jazz",45
"jone",12
"jones,",3
"jones.",3
"jones:",3
"les",7
"ninety-minute,",1
"ninety-one,",1
"pianist",3
"playing""",2
"playing,""",1
"amend",38
"disillusion",2
"edict,",1
"encompassed.",1
"far-reach",11
"pbs.org.",4
"repeal.",1
"rise,",4
"rule,",6
"six-hour,",1
"three-part",17
"tune-.",3
"1800",12
"2000.??",1
"arriv",48
"bloc",2
"census",17
"destiny,",1
"ii).",1
"mexican-american,",2
"series,",54
"six-hour",3
"spanish-american",3
"story,",22
"wild",30
"civilization.",9
"evidence,",15
"footstep",2
"hero",15
"heroes:",1
"hi-definition,",1
"six-part",8
"societies.",23
"spectacular",11
"television.",6
"bibliography,",8
"citizenship.",17
"documentary,",24
"features.",11
"grant)",1
"grieved,",1
"stagger",1
"stream",23
"suffering:",1
"timeline,",1
"toll.",1
"transcripts,",6
"attic.",1
"become.",1
"considered,",4
"documentaries;",1
"features;",3
"forget",4
"format-break",1
"half-hour,",1
"intim",50
"listeners.",4
"narration,",1
"npr",12
"rememb",21
"shorter",9
"signatur",11
"society;",14
"style,",9
"thing",47
"vintag",2
"""rout",3
"americanroutes.org",1
"appropriate,",2
"bbc",2
"outlet",8
"post-katrina",2
"recovery""",1
"rout",24
"segment",38
"settings-",1
"specialists.",8
"$800,000",4
"-recogn",3
"blackmon.",1
"bondage,",1
"brutal",11
"content;",5
"documentary;",1
"dougla",15
"insidi",1
"multi-platform",20
"neo-slaveri",1
"onset",2
"primetim",4
"prize-win",14
"pulitz",10
"recount",13
"trap",4
"twin",9
"workshops,",59
"cup",1
"looting,",3
"maya",57
"mythology.",2
"one-hour",28
"questions.",18
"screenings,",11
"vessel",13
"workshops;",8
"""mission,""",1
"2-4.",1
"9-13.",1
"figures,",11
"multi-media",24
"player",36
"reach.",6
"settings,",9
"skills.",12
"teachers.",34
"60-minut",12
"builders.",1
"construction,""",1
"engage,",4
"infrastructure,",9
"internet-bas",1
"planning,",35
"surprise,",1
"week,",10
"$498,419.",1
"(aam)",2
"(narrat",1
"amos)",1
"burgeon",12
"challenges,",12
"constraint",15
"daunt",3
"deborah",3
"demograph",41
"dilemma:",1
"expression,",11
"features,",6
"invit",117
"modules,",9
"opportunities,",13
"ray",12
"suarez",1
"unemployed,",2
"voice,",4
"young,",3
"youth.",5
"computer.",3
"eam",2
"eames",1
"masters.",2
"modernism,",16
"painter:",1
"achievement,",2
"cistercian",2
"comb",2
"dead,",2
"excluded;",1
"female-author",1
"helfta",1
"helfta,",1
"members;",3
"nun",14
"saxony.",1
"spirituality.",4
"thirteenth",37
"vent.",1
"challenges.",13
"theories,",4
"war?""",1
"bad?",1
"fair?",1
"families?",2
"family?",3
"individual?",1
"insul",3
"order?",2
"owe",12
"question.",19
"return,",1
"time?",8
"angles:",2
"forgiv",5
"forgiveness.",2
"instanc",14
"relations.",21
"tempest,",2
"(isp),",1
"africa.",35
"alongsid",74
"arab-world",1
"conceiv",36
"contour",18
"darwin.",2
"excerpt",17
"keen",6
"nature?",8
"nature?""",2
"prerequisit",3
"sequenc",22
"treatis",32
"upper-level",12
"world?",10
"cosmolog",7
"cosmologies,",3
"cosmology.",1
"cosmos",2
"humans,",6
"monotheisms,",2
"overall,",3
"predisciplinari",2
"scrutin",7
"academy:",2
"big",26
"educated""",1
"educated?",2
"education?",2
"electorate?",1
"good,",6
"grappl",31
"intrins",10
"person?",4
"seminar,",14
"uneduc",2
"virtuous",5
"vocat",10
"concerns.",13
"furman",3
"job,",2
"oneself",3
"phaedrus.",2
"philosophic,",1
"reveri",1
"rousseau",14
"self-knowledg",6
"sensibility,",3
"solitari",3
"taught",46
"thyself:",1
"walker,",6
"another,",14
"bigger",2
"communion",1
"essays.",9
"feel",38
"freud",12
"happiness,",5
"immortality?",1
"incomplet",8
"inquir",10
"limits?",2
"love.",5
"love?""",1
"mysteri",11
"namely,",5
"non-humanists,",1
"others:",2
"prejudic",5
"pride",18
"provision",10
"pursuit,",1
"questions,",24
"reasonable,",1
"self-suffici",5
"someon",7
"spontaneous,",2
"symposium,",9
"whole?",1
"cruelti",5
"enquiri",2
"ethics,",37
"evil",18
"evil-",1
"expos",69
"forth.",1
"genocide.",8
"horribl",1
"like,",6
"otherwis",31
"people?",4
"personhood,",4
"psychiatry,",1
"psychology,",20
"sociology,",12
"""vision""",2
"ancient,",10
"christianity;",2
"church,",18
"fail?",2
"icons.",3
"invis",13
"invisible?",1
"literacy,",9
"logo",1
"momentarili",1
"philosophy;",7
"primaci",4
"real,",3
"representation?",1
"transcendence.",1
"(conclusion),",1
"(units),",1
"2010-dec",1
"blogs,",3
"change?",3
"coda",1
"consciousness?",2
"experienced?",1
"fair",28
"fin-de-si??cle/ear",1
"fourteenth",13
"period:",10
"philosophical,",18
"posts.",1
"respondents;",1
"simultaneously.",6
"venu",47
"aristophanes,",4
"aristotle,",17
"ask,",7
"attitudes.",4
"bergson,",3
"castlevetro,",1
"cruel,",1
"first-year",19
"hail",6
"induc",3
"langer,",1
"laugh",4
"laugh.",2
"laugh?",1
"laughter",7
"others;",3
"physiological,",1
"physiology,",3
"preoccupations,",1
"psychological,",9
"release,",5
"rules,",6
"sacrilegious,",1
"seminar",457
"specul",8
"stifl",1
"studied,",3
"superior",19
"surprised,",1
"toole,",1
"weak,",1
"well-.",6
"wilde;",1
"accomplishment.",1
"berkle",3
"berklee,",1
"career,",16
"cicero",3
"educate,",3
"ess",1
"essay,",7
"existence,",5
"friendship,""",1
"genuin",4
"image.",5
"motto",6
"phrase",14
"quam",1
"seem.""",1
"semest",19
"train,",2
"videri,",1
"buber",2
"c.s.",2
"ellison,",3
"homer,",4
"humble,",1
"humil",5
"humility,",2
"lao",1
"lewis,",6
"machiavelli,",7
"miller.",2
"nietzsche,",10
"pride,",1
"proud,",1
"ralph",12
"reward",4
"shakespeare,",16
"tzu,",2
"virgil,",2
"17th-19th",2
"alic",24
"archive)",2
"cemetery,",5
"ends?",1
"finit",1
"finitud",2
"grave,",1
"immort",6
"introductori",27
"level.",22
"multifacet",59
"oakland",9
"prerequisites.",1
"remembr",5
"walker",17
"beholder?",2
"blame",18
"deserv",7
"detail,",8
"discourse.",18
"evil""?",1
"evil?",2
"kentucky,",13
"mind",70
"morehead",1
"morehead,",1
"ones:",1
"qualities?",1
"think.",1
"""color",2
"""redlining,""",1
"(geograph",1
"altogether.",1
"elect",31
"eras",5
"estat",14
"gis",18
"growth",67
"lender",1
"line,""",2
"lines,",6
"mortgag",3
"pace",7
"redraw",2
"suburbs,",6
"suburbs.",1
"system)",2
"us.",23
"zone",24
"del",22
"farm",46
"generals,",1
"lee",20
"mid-america",5
"road",49
"(county)",1
"1919.",2
"air",62
"airmail",1
"airplan",1
"aviat",1
"carbon",7
"commonplac",10
"elk",3
"handout",1
"mountain.",1
"plane",2
"rawlins,",1
"rawlins.",1
"seat,",1
"slam",1
"stop",10
"transcontinent",16
"wyoming,",3
"(1621-1665),",1
"baroqu",25
"brussel",1
"buildings,",14
"capital.",10
"literatures.",6
"madrid",7
"monarchy.",3
"palermo",1
"precari",10
"re-assess",6
"reign",16
"romanc",27
"seventeenth-centuri",27
"aesthetic,",8
"composit",40
"conductor",2
"constituencies.",2
"ethnic,",15
"italy.",20
"propaganda",11
"sociolog",36
"statement",12
"tempor",16
"travers",11
"untap",13
"verdi",13
"weapon",12
"(1813-1894).",1
"(jame",2
"agassiz",1
"cooper);",1
"diarist,",2
"domesticity,",2
"essayist,",1
"executor",2
"fenimor",6
"invas",6
"novelist,",12
"philanthropist;",1
"prescient",2
"species.",3
"tireless",4
"warn",6
"1460s.",1
"amiroutz",3
"case,",10
"conqueror",1
"dialectical,",1
"erudit",2
"exercise,",2
"gist",1
"give--tak",1
"greatest.",1
"household.",3
"insist",12
"iren",2
"mehm",3
"moslem",1
"servant.",1
"spain.",10
"sultan",2
"sultan,",1
"translation.",21
"(1685-1753),",1
"(1734).",1
"anglican",3
"cambridg",21
"cloyn",1
"collect,",27
"correspondence.",5
"dublin",8
"edit,",6
"errors).",1
"exists,",3
"held.",4
"scatter",14
"triniti",3
"""rights,""",1
"""security""",1
"asks:",4
"bolivia,",3
"cochabamba,",1
"conjunctur",1
"daili",89
"ethnographically,",1
"examines,",1
"extend,",2
"individuals,",19
"length",19
"neighborhood",64
"(encyclopedias,",1
"(www.dartmouth.edu/~milton/reading_room/contents)",1
"concordances,",2
"dictionaries,",3
"google.",1
"introductions.",3
"milton,",4
"mrr",1
"prose",32
"resources)",1
"sonnet",4
"(1571-1610).",1
"(ca.",24
"(juli",9
"1595-1624).",1
"1620",1
"2010),",1
"baburen",5
"caravaggio",1
"caravaggisti,",1
"created,",10
"dirck",1
"evoc",12
"imageri",26
"master,",1
"painter,",3
"painting.",9
"stay",12
"utrecht",2
"van",16
"""count",1
"category--concern",1
"disjunctur",1
"fraught",14
"growth.",15
"hypothes",6
"indians""",2
"measurement--",1
"neutral",8
"overpopul",2
"paradoxically,",3
"place.",35
"post-coloni",17
"privilege,",2
"suggest,",3
"5-4",1
"adher",13
"court,",12
"dale",3
"dale.",1
"decision,",2
"decision-mak",15
"discrimination.",4
"exclud",13
"hand,",20
"homosexual.",1
"invidi",1
"jeopard",1
"judici",13
"nineteen",7
"pit",9
"ruled,",1
"scout",7
"scoutmast",1
"suprem",34
"(1934-1940)",1
"1940,",2
"cardena",1
"chose",8
"heel",2
"lazaro",2
"misconcept",3
"nature.",26
"parks,",8
"reconfigur",24
"sustainability.",18
"vulnerabilities.",1
"(1524-1592)",1
"(1527-1598)",1
"aria",1
"aristotelian",6
"benito",1
"biblist",1
"consideration.",2
"contemporaries.",12
"covarrubia",1
"dr.",94
"exeget",2
"formul",32
"inquisit",2
"montano",1
"nascent",18
"neoplaton",3
"re-conceptu",5
"text.",24
"vall",4
"""atomic""",1
"-rapid",1
"1949,",3
"1957)",1
"1962.",2
"angl",5
"anti-nuclear",1
"arrogant,",1
"atom",13
"basebal",4
"belov",8
"bomb",14
"coverag",20
"covered,",1
"created),",1
"deton",1
"evacu",7
"imperialist",5
"jacki",3
"job",16
"mindset.",1
"plans)",2
"protest.",7
"robinson",16
"segreg",42
"shelter",5
"sputnik",2
"superstar",1
"vanquish",4
"whenev",2
"whites-",1
"workplace,",2
"agency,",11
"crisi",49
"humanity,",4
"non-european",4
"order,",8
"portugues",21
"reason,",9
"reform.",20
"sovereignty,",7
"utility.",1
"anti-semit",8
"antipathi",1
"archivio",1
"biology.",2
"bold,",1
"class,",42
"dello",1
"fascism.",1
"fascist",8
"jew",65
"rome,",10
"stato",1
"""official""",1
"1989",8
"adolesc",6
"affair",24
"analysis.",31
"childhood",21
"communism",12
"democracy.",26
"genre,",7
"individual,",5
"long?",1
"poland",9
"poland,",8
"poland.",1
"polish",17
"post-1989",2
"pseudo-autobiograph",1
"recollect",8
"1,095",1
"1865,",2
"21-year-old",3
"antebellum",52
"davis,",16
"divorce,",1
"emili",27
"father",24
"freeborn",2
"friend",29
"happen",39
"illness,",5
"joy",6
"know.",3
"longer",32
"mention",14
"messi",2
"mulatto",2
"pains,",1
"woman,",7
"""chinese.""",1
"1908",1
"abstract",22
"borderland",28
"minorities.",5
"pelliot",1
"peripher",3
"skew",1
"tibetans,",1
"uighurs,",1
"unused.",1
"alli",27
"anecdotal,",1
"axis.",1
"chronicles:",1
"defeat,",3
"ideology,",12
"liberation.",2
"neglected,",7
"occup",34
"occupation,",6
"vicissitud",3
"wwii",14
"""dead",1
"contradictori",12
"dead",38
"equat",4
"forms--",1
"forms.",19
"haiku--",1
"prosodi",1
"society,""",1
"vers",17
"villanell",1
"""midwiferi",1
"beneficiari",3
"childbirth,",1
"england"".",1
"entitled,",13
"marketplac",7
"marri",10
"medicine.",12
"midwiferi",1
"midwiv",5
"mothers,",2
"parish",8
"patriarch",8
"practice;",6
"practitioners;",1
"unmarried;",1
"write,",3
"bulgakov",3
"cervant",3
"exegesi",3
"magnum",5
"margarita,",1
"miguel",4
"mikhail",4
"oeuvr",4
"opus,",5
"quixote,",1
"quixote.",1
"re-work",2
"regime,",3
"stalin",5
"academi",56
"chicago.",12
"columbus,",10
"enrich",121
"groups:",2
"mosques,",1
"ohio",75
"palestinian",18
"principally,",1
"process?",2
"religion.",24
"somali",5
"understood.",10
"""civic""",1
"""constitute""",1
"citizenri",3
"constitution,",16
"constitutionalism,",3
"courts.",4
"enterprise.",6
"knowledge,",52
"mind-set",1
"order,""",3
"people:",7
"round",15
"(access",1
"140",5
"1700",7
"1837-1901",1
"5300",1
"900",10
"analyses,",7
"authorship,",10
"bibliography:",1
"enum",1
"fiction.",12
"four-volum",5
"http://www.victorianresearch.org/atcl)",1
"novels,",33
"novels.",5
"publishers,",6
"serialization.",1
"statist",20
"three-volum",2
"two-",6
"autonomy.",4
"demise,",1
"inquisitori",2
"legitimaci",9
"lordship.",1
"micro-histor",3
"north-centr",1
"opposition.",2
"papaci",1
"papal",6
"populac",3
"saints.",2
"struggles.",3
"subordin",3
"survival,",6
"terrestri",2
"vener",7
"""sweet",1
"14th-centuri",7
"15,",9
"bound",37
"domain,",1
"elements,",11
"expuls",3
"france""",1
"fuller",11
"hebrew,",5
"mythic",6
"nuanc",35
"occitan",1
"symbols,",1
"advancement,",3
"bourgeoi",6
"bourgeoisi",1
"business,",31
"distinct.",1
"financial,",2
"intimaci",12
"(d.",6
"1117)",1
"anonym",15
"anselm",5
"deus",3
"habet",2
"habet.",1
"laon",1
"laon,",1
"manuscripts.",22
"non",5
"sentenc",19
"used/compil",1
"analyze,",12
"course.",17
"decades,",32
"exercis",26
"gather,",7
"holocaust",48
"latitud",2
"ownership",21
"story-interpret",1
"story-tel",3
"trauma.",2
"""occupi",1
"1770.",1
"armi",40
"boston:",3
"civilian",52
"community-sometim",1
"desired.",1
"inund",3
"kinship,",4
"marriage,",15
"massacre.""",1
"neighbors,",2
"reexamin",9
"riot",9
"signpost",1
"strangers.",1
"tangl",4
"unsurpris",1
"usual",33
"(1774-1845)",1
"appl",7
"applese",1
"chapman",7
"chapman,",1
"context;",6
"fourth",41
"indiana,",11
"johnni",2
"missionari",20
"myth.",2
"orchard.",1
"seedlings,",1
"self-appoint",1
"sell",9
"spent",16
"swedenborgian",1
"world;",13
"""hidden",3
"addendum",1
"decline.",5
"english-languag",23
"ethnicity.",4
"heterogen",9
"ireland""",2
"irish-",1
"irish-speak",1
"languages.",36
"near-invis",1
"simply,",2
"sociolinguistics,",2
"1-juli",1
"afford",39
"ashgat",1
"attitudes,",4
"byzantium",4
"christian-islam",1
"commemoration,",5
"empire,",40
"indic",41
"mediterranean",56
"spheres.",5
"""'oper",1
"(children",1
"adulthood,",4
"adults--",1
"childhood.",7
"classes.",11
"comprehend",7
"importantly,",16
"inform--",1
"inspired.",4
"juxtapos",13
"literature""",4
"literature--",2
"pie",2
"piper':",1
"shaped--",2
"sub-genr",1
"war)",3
"2010-11.",1
"decade;",1
"disjointed,",1
"drafted,",1
"james.",1
"philosopher/psychologist.",1
"re-survey",1
"rewrite.",1
"sabbat",9
"task",40
"""closed""",1
"""porfiriato""),",1
"(1876-1910,",1
"1893.",2
"columbian",5
"diaz",8
"exposit",11
"frontier,",10
"house""",2
"incomplete--modernization.",1
"porfirio",3
"rapid--though",1
"reverber",7
"turner",4
"alcott,",4
"altar",5
"aspirations,",4
"canon.",4
"chapter,",9
"devout",4
"engagement,",25
"favor",13
"home:",6
"ideals,",10
"mid-century,",3
"piety,",2
"sentiment",22
"sentimentalism,",1
"sigourney,",1
"stowe.",5
"underlay",2
"1886",1
"assertion,",3
"butcher",2
"custer",1
"disempowerment,",1
"dynamics,",7
"dynamics.",4
"fledgl",4
"illustrations,",8
"nebraska.",1
"nexus,",2
"record.",12
"settler",31
"sitter",3
"solomon",10
"ubiquit",15
"""expert""",1
"""lay""",1
"(primarili",3
"clerics)",1
"concomit",2
"dialogue,",17
"engaged,",3
"entertaining,",2
"expertise.",14
"gulf",12
"implicitly,",1
"judgment",19
"laypeople)",1
"learner",27
"revalu",2
"status,",9
"thirteenth-centuri",6
"unintend",8
"verse.",4
"1700s",4
"benjamin",24
"bodili",12
"categories.",3
"crevecoeur,",1
"fantast",4
"founding.",3
"franklin,",4
"hector",1
"imagined,",2
"philli",1
"today,",53
"wheatley,",1
"""northern",1
"removal""",1
"tribe",69
"tribes.",9
"align",58
"artist,",14
"ashcan",2
"cartoons.",1
"editori",76
"illustration,",4
"illustrators.",1
"newspap",208
"picturing.",1
"realism",4
"reportori",1
"sloan",5
"sloan,",1
"""build",3
"150th",15
"aaron",6
"adumbr",1
"attended.",1
"bennett,",3
"copland,",3
"designers,",7
"entertainment,",6
"fair.",1
"festival,",8
"foretel",1
"forty-f",6
"gershwin,",1
"highbrow",2
"inauguration,",1
"kurt",12
"lowbrow",1
"novelists,",11
"presidenti",32
"russel",16
"still,",3
"tomorrow.""",1
"utopian",21
"visionari",8
"weill",1
"""designs""",1
"1840s",4
"brontë",1
"courtship",1
"discurs",13
"eyre,",1
"independently,",1
"multi-plot/multi-genr",1
"novel.",11
"ong",1
"pre-exist",2
"third,",17
"peirc",6
"thought,",23
"(1930)",1
"1967",8
"[legend",1
"allusions.",1
"apparatus:",1
"asturia",1
"decision-making;",1
"glossari",5
"guatemala",8
"guatemala],",1
"intertext",2
"laureat",7
